,Serial Killer,Gender,Victims,Country,Country Code,Longitude,Latitude
0,Samuel Little,male,93,United States of America,US,-98.5795,39.828175
1,Gary Ridgway,male,49,United States of America,US,-98.5795,39.828175
2,Salvatore Riina,male,45,Italy,IT,12.5,42.5
3,Wang Qiang,male,45,People's Republic of China,CN,103.451944444,35.844722222
4,Andrei Chikatilo,male,43,Russia,RU,94.25,66.416666666
5,Hadj Mohammed Mesfewi,male,36,Morocco,MA,-6.0,32.0
6,Ted Bundy,male,36,United States of America,US,-98.5795,39.828175
7,François Vérove,male,25,France,FR,2.0,47.0
8,Ángel Maturino Reséndiz,male,23,Mexico,MX,-102.0,23.0
9,Yvan Keller,male,23,France,FR,2.0,47.0
10,Earle Nelson,male,22,United States of America,US,-98.5795,39.828175
11,William Bonin,male,21,United States of America,US,-98.5795,39.828175
12,Yoo Young-chul,male,20,South Korea,KR,128.0,36.0
13,Thierry Paulin,male,18,France,FR,2.0,47.0
14,Jeffrey Dahmer,male,17,United States of America,US,-98.5795,39.828175
15,François Vérove,male,17,France,FR,2.0,47.0
16,Irina Gaidamachuk,female,17,Russia,RU,94.25,66.416666666
17,Novosibirsk Serial Killer,male,17,Russia,RU,94.25,66.416666666
18,Ronald Gene Simmons,male,16,United States of America,US,-98.5795,39.828175
19,Gesche Gottfried,female,15,Germany,DE,10.0,51.0
20,Jeong Nam-gyu,male,13,South Korea,KR,128.0,36.0
21,Manuel Blanco Romasanta,intersex,13,Spain,ES,-3.5,40.2
22,Marie Alexandrine Becker,female,11,Belgium,BE,4.668055555,50.641111111
23,Michel Fourniret,male,11,France,FR,2.0,47.0
24,Gao Chengyong,male,11,People's Republic of China,CN,103.451944444,35.844722222
25,Kang Ho-sun,male,10,South Korea,KR,128.0,36.0
26,Takahiro Shiraishi,male,9,Japan,JP,136.0,35.0
27,Manuel Blanco Romasanta,intersex,9,Spain,ES,-3.5,40.2
28,Billy the Kid,male,9,United States of America,US,-98.5795,39.828175
29,Francis Heaulme,male,9,France,FR,2.0,47.0
30,Antoinette Scierri,female,9,France,FR,2.0,47.0
31,Jean-Thierry Mathurin,male,8,France,FR,2.0,47.0
32,Todd Christopher Kohlhepp,male,7,United States of America,US,-98.5795,39.828175
33,Kang Chang-gu,male,6,South Korea,KR,128.0,36.0
34,Juan Díaz de Garayo,male,6,Spain,ES,-3.5,40.2
35,Velma Barfield,female,6,United States of America,US,-98.5795,39.828175
36,Thomas Rung,male,6,Germany,DE,10.0,51.0
37,Kim Seon-ja,female,5,South Korea,KR,128.0,36.0
38,Seiha Fujima,male,5,Japan,JP,136.0,35.0
39,David Mason,male,5,United States of America,US,-98.5795,39.828175
40,William Dathan Holbert,male,5,United States of America,US,-98.5795,39.828175
41,Orhan Aksoy,male,5,Turkey,TR,36.0,39.0
42,Magdalena Solís,female,5,Mexico,MX,-102.0,23.0
43,Tsutomu Miyazaki,male,4,Japan,JP,136.0,35.0
44,Norio Nagayama,male,4,Japan,JP,136.0,35.0
45,Dean Carter,male,4,United States of America,US,-98.5795,39.828175
46,Wayne Adam Ford,male,4,United States of America,US,-98.5795,39.828175
47,Yoni Palmier,male,4,France,FR,2.0,47.0
48,Jacques Plumain,male,4,France,FR,2.0,47.0
49,Louis Poirson,male,4,France,FR,2.0,47.0
50,Lam Kor-wan,male,4,People's Republic of China,CN,103.451944444,35.844722222
51,Timofey Podshivalov,male,4,Russia,RU,94.25,66.416666666
52,Leonard Fraser,male,4,Australia,AU,137.0,-28.0
53,Dellen Millard,male,3,Canada,CA,-109.0,56.0
54,Doug Moore,male,3,Canada,CA,-109.0,56.0
55,Carl Hall,male,3,Canada,CA,-109.0,56.0
56,Larry Gene Bell,male,3,United States of America,US,-98.5795,39.828175
57,Leonarda Cianciulli,female,3,Italy,IT,12.5,42.5
58,Silvia Meraz,female,3,Mexico,MX,-102.0,23.0
59,Jacques Fruminet,male,3,France,FR,2.0,47.0
60,Patrick Tissier,male,3,France,FR,2.0,47.0
61,Rémy Roy,male,3,France,FR,2.0,47.0
62,Denis Waxin,male,3,France,FR,2.0,47.0
63,Jacquy Haddouche,male,3,France,FR,2.0,47.0
64,Albert Millet,male,3,France,FR,2.0,47.0
65,David Lefèvre (serial killer),male,3,France,FR,2.0,47.0
66,Anatoli Neželski,male,3,Estonia,EE,26.0,59.0
67,Mark Smich,male,2,Canada,CA,-109.0,56.0
68,Joji Obara,male,2,Japan,JP,136.0,35.0
69,Carol M. Bundy,female,2,United States of America,US,-98.5795,39.828175
70,Richard Rogers (serial killer),male,2,United States of America,US,-98.5795,39.828175
71,Mark Errin Rust,male,2,Australia,AU,137.0,-28.0
72,Joran van der Sloot,male,1,Kingdom of the Netherlands,NL,4.883333333,52.366666666
