,Occupation,Male,Female,Intersex,Total
0,nurse,14,17,0,31
1,military personnel,25,0,0,25
2,physician,16,2,0,18
3,prostitute,3,5,0,8
4,writer,7,1,0,8
5,soldier,8,0,0,8
6,scientist,8,0,0,8
7,journalist,8,0,0,8
8,police officer,8,0,0,8
9,mechanic,6,0,0,6
10,psychiatrist,6,0,0,6
11,truck driver,4,0,0,4
12,butcher,4,0,0,4
13,entrepreneur,4,0,0,4
14,photographer,4,0,0,4
15,businessperson,3,1,0,4
16,poet,4,0,0,4
17,electrician,4,0,0,4
18,taxi driver,4,0,0,4
19,salesperson,4,0,0,4
20,gardener,4,0,0,4
21,lawyer,3,0,0,3
22,politician,3,0,0,3
23,joiner,3,0,0,3
24,real estate agent,2,1,0,3
25,American football player,3,0,0,3
26,firefighter,2,0,0,2
27,mercenary,2,0,0,2
28,accountant,2,0,0,2
29,aircraft pilot,2,0,0,2
30,judge,2,0,0,2
31,hitman,2,0,0,2
32,procurer,1,1,0,2
33,barber,2,0,0,2
34,waiter,2,0,0,2
35,contractor,2,0,0,2
36,merchant,2,0,0,2
37,chef,2,0,0,2
38,novelist,1,1,0,2
39,mathematician,2,0,0,2
40,midwife,0,2,0,2
41,chemist,2,0,0,2
42,security guard,1,1,0,2
43,cook,0,2,0,2
44,chauffeur,2,0,0,2
45,leader,2,0,0,2
46,street vendor,1,0,1,2
47,choir director,2,0,0,2
48,technician,2,0,0,2
49,stevedore,2,0,0,2
50,construction worker,1,1,0,2
51,guard,2,0,0,2
52,cobbler,2,0,0,2
53,skipper,2,0,0,2
54,teacher,2,0,0,2
55,engineer,2,0,0,2
56,plumber,1,0,0,1
57,roofer,1,0,0,1
58,bodyguard,1,0,0,1
59,subdeacon,1,0,0,1
60,cartographer,1,0,0,1
61,business person,1,0,0,1
62,government agent,1,0,0,1
63,employee of printing,1,0,0,1
64,dentist,1,0,0,1
65,stonemason,1,0,0,1
66,baker,1,0,0,1
67,warehouseman,1,0,0,1
68,housekeeper,0,1,0,1
69,babysitter,1,0,0,1
70,watchmaker,1,0,0,1
71,warrior,1,0,0,1
72,real estate entrepreneur,1,0,0,1
73,forensic blood spatter analyst,1,0,0,1
74,cowboy,1,0,0,1
75,psychologist,1,0,0,1
76,organist,1,0,0,1
77,schoolteacher,1,0,0,1
78,investment banker,1,0,0,1
79,noble,0,1,0,1
80,gambler,1,0,0,1
81,ranch hand,1,0,0,1
82,handyperson,1,0,0,1
83,military leader,1,0,0,1
84,dressmaker,0,0,1,1
85,farmworker,1,0,0,1
86,amateur wrestler,0,1,0,1
87,professional wrestler,0,1,0,1
88,art forger,1,0,0,1
89,monarch,0,1,0,1
90,bus driver,1,0,0,1
91,butler,1,0,0,1
92,pharmacist,1,0,0,1
93,hotel manager,1,0,0,1
94,confectioner,1,0,0,1
95,environmentalist,1,0,0,1
96,funeral director,1,0,0,1
97,auto mechanic,1,0,0,1
98,welder,1,0,0,1
99,damage controlman,1,0,0,1
100,blogger,1,0,0,1
101,militiaman,1,0,0,1
102,naval officer,1,0,0,1
103,gridiron football player,1,0,0,1
104,clerk,1,0,0,1
105,obstetrician-gynecologist,1,0,0,1
106,cleaner,1,0,0,1
107,surgeon,1,0,0,1
108,special agent,1,0,0,1
109,radio personality,1,0,0,1
110,illustrator,1,0,0,1
111,detective,1,0,0,1
112,marksman,1,0,0,1
113,scrivener,1,0,0,1
114,beekeeper,1,0,0,1
115,garden designer,1,0,0,1
116,landscape contractor,1,0,0,1
117,information systems technician,1,0,0,1
118,game tester,0,1,0,1
119,newspaper delivery person,1,0,0,1
120,missionary,1,0,0,1
121,witch doctor,0,1,0,1
122,turner,1,0,0,1
123,herbalist,0,1,0,1
124,roboticist,1,0,0,1
125,Q21086673,1,0,0,1
126,bookstore clerk,1,0,0,1
127,bookstore manager,1,0,0,1
128,hairdresser,1,0,0,1
129,busser,1,0,0,1
130,railway worker,1,0,0,1
131,gendarme,1,0,0,1
